file_name,genre,year,artist,title,album,length,bpm,folder
(Damn) This Desert Air - Ghost I Own,Alternative,2010,(Damn) This Desert Air,Ghost I Own,Distance Waits,3:38,138,A - C
44 - Lycanthrope,Alternative,2006,44,Lycanthrope,When Your Heart Stops Beating,4:00,167,A - C
.38 Special - Caught Up In You,Southern Rock,1982,.38 Special,Caught Up In You,Special Forces,4:55,132,A - C
.38 Special - Hold On Loosely,Southern Rock,1981,.38 Special,Hold On Loosely,Wild-Eyed Southern Boys,4:46,127,A - C
22-20s - Latest Heartbreak,Alternative,2010,22-20s,Latest Heartbreak,Shake/Shiver/Moan,3:55,110,A - C
2nd Thought - Just Hang On,Rock,2009,2nd Thought,Just Hang On,2nd Thought,2:45,76,A - C
3 Doors Down - Here Without You,Rock,2002,3 Doors Down,Here Without You,Away from the Sun,3:59,143,A - C
3 Doors Down - It's Not My Time,Rock,2008,3 Doors Down,It's Not My Time,3 Doors Down,4:04,127,A - C
3 Doors Down - Kryptonite,Rock,2000,3 Doors Down,Kryptonite,The Better Life,4:00,99,A - C
3 Doors Down - When I'm Gone,Rock,2002,3 Doors Down,When I'm Gone,Away from the Sun,4:39,147,A - C
3 Doors Down - When You're Young,Rock,2011,3 Doors Down,When You're Young,Time of My Life,4:14,77,A - C
3 Inches of Blood - Battles and Brotherhood,Metal,2009,3 Inches of Blood,Battles and Brotherhood,Here Waits Thy Doom,4:52,117,A - C
30 Seconds to Mars - Attack,Alternative,2006,30 Seconds to Mars,Attack,A Beautiful Lie,3:12,87,A - C
30 Seconds to Mars - Closer to the Edge,Alternative,2009,30 Seconds to Mars,Closer to the Edge,This Is War,4:19,139,A - C
30 Seconds to Mars - From Yesterday,Alternative,2006,30 Seconds to Mars,From Yesterday,A Beautiful Lie,4:02,135,A - C
30 Seconds to Mars - Kings and Queens,Alternative,2009,30 Seconds to Mars,Kings and Queens,This Is War,5:38,82,A - C
30 Seconds to Mars - Rescue Me,Alternative,2018,30 Seconds to Mars,Rescue Me,America,3:41,147,A - C
30 Seconds to Mars - The Kill,Alternative,2006,30 Seconds to Mars,The Kill,A Beautiful Lie,4:11,91,A - C
30 Seconds to Mars - This Is War,Alternative,2009,30 Seconds to Mars,This Is War,This Is War,5:05,159,A - C
311 - Amber,Rock,2001,311,Amber,From Chaos,3:33,83,A - C
311 - Beautiful Disaster,Rock,1997,311,Beautiful Disaster,Transistor,4:01,84,A - C
311 - Down,Rock,1995,311,Down,311,2:59,87,A - C
4 Non Blondes - What's Up,Alternative,1992,4 Non Blondes,What's Up?,"Bigger, Better, Faster, More!",5:00,133,A - C
5 Seconds Of Summer - She Looks So Perfect,Pop Rock,2014,5 Seconds Of Summer,She Looks So Perfect,5 Seconds Of Summer,3:30,159,A - C
5 Seconds of Summer - Youngblood,Pop Rock,2018,5 Seconds of Summer,Youngblood,Youngblood,3:26,120,A - C
500 Miles to Memphis - All My Friends Are Crazy,Country,2009,500 Miles to Memphis,All My Friends Are Crazy,Sunshine in a Shotglass,3:53,134,A - C
